Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
08/01/1994,Pend Oreille County                                         ,9.9%,5.9%,6%
08/01/1994,Whitman County                                              ,1.8%,5.9%,6%
08/01/1994,Pacific County                                              ,10.8%,5.9%,6%
08/01/1994,Okanogan County                                             ,9.9%,5.9%,6%
08/01/1994,Mason County                                                ,8.4%,5.9%,6%
08/01/1994,Yakima County                                               ,10.7%,5.9%,6%
08/01/1994,Wahkiakum County                                            ,10.9%,5.9%,6%
08/01/1994,Lewis County                                                ,8.1%,5.9%,6%
08/01/1994,Klickitat County                                            ,10.5%,5.9%,6%
08/01/1994,Kittitas County                                             ,7.1%,5.9%,6%
08/01/1994,Bellingham MSA                                              ,7.2%,5.9%,6%
08/01/1994,Kitsap County                                               ,5.7%,5.9%,6%
08/01/1994,Bremerton-Silverdale MSA                                    ,5.7%,5.9%,6%
08/01/1994,King County                                                 ,4.9%,5.9%,6%
08/01/1994,Kennewick-Richland-Pasco MSA                                ,5.5%,5.9%,6%
08/01/1994,Jefferson County                                            ,7.7%,5.9%,6%
08/01/1994,Island County                                               ,5.7%,5.9%,6%
08/01/1994,Grays Harbor County                                         ,11.3%,5.9%,6%
08/01/1994,Grant County                                                ,8.6%,5.9%,6%
08/01/1994,Longview MSA                                                ,7.7%,5.9%,6%
08/01/1994,Garfield County                                             ,4.3%,5.9%,6%
08/01/1994,Franklin County                                             ,6.9%,5.9%,6%
08/01/1994,Mount Vernon-Anacortes MSA                                  ,7.9%,5.9%,6%
08/01/1994,Ferry County                                                ,10.9%,5.9%,6%
08/01/1994,Douglas County                                              ,8.1%,5.9%,6%
08/01/1994,Cowlitz County                                              ,7.7%,5.9%,6%
08/01/1994,Columbia County                                             ,10.1%,5.9%,6%
08/01/1994,Clark County                                                ,4%,5.9%,6%
08/01/1994,Clallam County                                              ,10%,5.9%,6%
08/01/1994,Chelan County                                               ,9.8%,5.9%,6%
08/01/1994,Benton County                                               ,5.1%,5.9%,6%
08/01/1994,Asotin County                                               ,3.5%,5.9%,6%
08/01/1994,Olympia MSA                                                 ,6.2%,5.9%,6%
08/01/1994,Adams County                                                ,8.3%,5.9%,6%
08/01/1994,Seattle-Bellevue-Everett MSA                                ,5.1%,5.9%,6%
08/01/1994,Spokane MSA                                                 ,4.6%,5.9%,6%
08/01/1994,Tacoma MSA                                                  ,6.3%,5.9%,6%
08/01/1994,Wenatchee MSA                                               ,9.2%,5.9%,6%
08/01/1994,Yakima MSA                                                  ,10.7%,5.9%,6%
09/01/1994,Yakima MSA                                                  ,7.5%,5.6%,5.5%
09/01/1994,Wenatchee MSA                                               ,4.7%,5.6%,5.5%
09/01/1994,King County                                                 ,5.2%,5.6%,5.5%
09/01/1994,Tacoma MSA                                                  ,5.8%,5.6%,5.5%
09/01/1994,Grant County                                                ,6.9%,5.6%,5.5%
09/01/1994,Spokane MSA                                                 ,4.3%,5.6%,5.5%
09/01/1994,Seattle-Bellevue-Everett MSA                                ,5.3%,5.6%,5.5%
09/01/1994,Olympia MSA                                                 ,5.7%,5.6%,5.5%
09/01/1994,Kitsap County                                               ,5.8%,5.6%,5.5%
09/01/1994,Cowlitz County                                              ,6.6%,5.6%,5.5%
09/01/1994,Mount Vernon-Anacortes MSA                                  ,7.2%,5.6%,5.5%
09/01/1994,Garfield County                                             ,3.4%,5.6%,5.5%
09/01/1994,Longview MSA                                                ,6.6%,5.6%,5.5%
09/01/1994,Kennewick-Richland-Pasco MSA                                ,4.7%,5.6%,5.5%
09/01/1994,Kittitas County                                             ,5.7%,5.6%,5.5%
09/01/1994,Clallam County                                              ,8.9%,5.6%,5.5%
09/01/1994,Bremerton-Silverdale MSA                                    ,5.8%,5.6%,5.5%
09/01/1994,Bellingham MSA                                              ,6.5%,5.6%,5.5%
09/01/1994,Yakima County                                               ,7.5%,5.6%,5.5%
09/01/1994,Whitman County                                              ,1.5%,5.6%,5.5%
09/01/1994,Klickitat County                                            ,8.3%,5.6%,5.5%
09/01/1994,Franklin County                                             ,5.8%,5.6%,5.5%
09/01/1994,Whatcom County                                              ,6.5%,5.6%,5.5%
09/01/1994,Walla Walla County                                          ,3.6%,5.6%,5.5%
09/01/1994,Chelan County                                               ,4.8%,5.6%,5.5%
09/01/1994,Wahkiakum County                                            ,9.6%,5.6%,5.5%
09/01/1994,Thurston County                                             ,5.7%,5.6%,5.5%
09/01/1994,Lewis County                                                ,6.8%,5.6%,5.5%
09/01/1994,Stevens County                                              ,6.8%,5.6%,5.5%
09/01/1994,Adams County                                                ,6.9%,5.6%,5.5%
09/01/1994,Spokane County                                              ,4.3%,5.6%,5.5%
09/01/1994,Ferry County                                                ,8.2%,5.6%,5.5%
09/01/1994,Snohomish County                                            ,5.6%,5.6%,5.5%
09/01/1994,Asotin County                                               ,2.7%,5.6%,5.5%
09/01/1994,Lincoln County                                              ,4.4%,5.6%,5.5%
09/01/1994,Skamania County                                             ,7.1%,5.6%,5.5%
09/01/1994,Skagit County                                               ,7.2%,5.6%,5.5%
09/01/1994,Douglas County                                              ,4.4%,5.6%,5.5%
09/01/1994,Mason County                                                ,7.7%,5.6%,5.5%
09/01/1994,San Juan County                                             ,3.7%,5.6%,5.5%
09/01/1994,Pierce County                                               ,5.8%,5.6%,5.5%
09/01/1994,Pend Oreille County                                         ,9.9%,5.6%,5.5%
09/01/1994,Pacific County                                              ,9.8%,5.6%,5.5%
09/01/1994,Okanogan County                                             ,6%,5.6%,5.5%
09/01/1994,Columbia County                                             ,11.3%,5.6%,5.5%
09/01/1994,Clark County                                                ,3.5%,5.6%,5.5%
09/01/1994,Benton County                                               ,4.3%,5.6%,5.5%
09/01/1994,Grays Harbor County                                         ,9.9%,5.6%,5.5%
09/01/1994,Island County                                               ,4.3%,5.6%,5.5%
09/01/1994,Jefferson County                                            ,7.5%,5.6%,5.5%
10/01/1994,Grant County                                                ,6.7%,5.4%,5.5%
10/01/1994,Longview MSA                                                ,6.8%,5.4%,5.5%
10/01/1994,Skamania County                                             ,7.5%,5.4%,5.5%
10/01/1994,Kennewick-Richland-Pasco MSA                                ,5%,5.4%,5.5%
10/01/1994,Snohomish County                                            ,5.5%,5.4%,5.5%
10/01/1994,Spokane MSA                                                 ,4.3%,5.4%,5.5%
